"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"1",6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6
"2",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
"3",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
"4",7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5
"5",12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
"6",5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6
"7",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5
"8",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6
"9",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
"10",9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6
"11",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"12",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5
"13",6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5
"14",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
"15",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
"16",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
"17",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
"18",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
"19",12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7
"20",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
"21",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
"22",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
"23",9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
"24",7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6
"25",7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6
"26",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5
"27",6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
"28",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
"29",7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
"30",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
"31",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
"32",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5
"33",6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,5
"34",7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7
"35",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6
"36",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
"37",5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
"38",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6
"39",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
"40",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
"41",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7
"42",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
"43",7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
"44",7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6
"45",8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5
"46",6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
"47",7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5
"48",11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
"49",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
"50",6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6
"51",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
"52",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
"53",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6
"54",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"55",7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
"56",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
"57",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
"58",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6
"59",12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
"60",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
"61",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6
"62",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
"63",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
"64",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5
"65",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
"66",9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,5
"67",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6
"68",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5
"69",7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,7
"70",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
"71",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
"72",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
"73",11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7
"74",9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
"75",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
"76",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
"77",11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
"78",6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6
"79",7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5
"80",10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
"81",10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6
"82",6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
"83",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
"84",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
"85",9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5
"86",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"87",9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6
"88",9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6
"89",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
"90",6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6
"91",11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
"92",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
"93",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
"94",8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
"95",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
"96",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
"97",9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
"98",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
"99",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
"100",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
"101",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
"102",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
"103",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,6
"104",6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
"105",7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5
"106",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6
"107",11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6
"108",8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5
"109",6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
"110",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
"111",8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5
"112",6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5
"113",6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
"114",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
"115",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
"116",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
"117",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6
"118",8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
"119",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5
"120",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
"121",7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6
"122",7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
"123",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
"124",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
"125",7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,6
"126",7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
"127",6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5
"128",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
"129",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
"130",6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6
"131",10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5
"132",10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5
"133",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
"134",6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
"135",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
"136",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7
"137",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6
"138",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
"139",8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5
"140",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
"141",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6
"142",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5
"143",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6
"144",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
"145",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5
"146",8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4
"147",7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,5
"148",6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
"149",8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
"150",13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
"151",8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
"152",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
"153",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
"154",7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
"155",9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5
"156",6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4
"157",7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,6
"158",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5
"159",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
"160",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
"161",10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
"162",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
"163",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
"164",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
"165",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
"166",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
"167",9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5
"168",6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
"169",6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6
"170",11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
"171",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
"172",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5
"173",10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7
"174",8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5
"175",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
"176",8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5
"177",7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5
"178",6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5
"179",7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6
"180",8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
"181",8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
"182",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5
"183",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5
"184",7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5
"185",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6
"186",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
"187",9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6
"188",8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6
"189",6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7
"190",6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7
"191",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
"192",6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
"193",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5
"194",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
"195",7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
"196",13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5
"197",9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6
"198",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"199",6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
"200",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
"201",7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
"202",6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
"203",7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
"204",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
"205",7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
"206",7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5
"207",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
"208",5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
"209",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6
"210",8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6
"211",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
"212",8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5
"213",7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
"214",10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5
"215",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
"216",8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7
"217",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6
"218",7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
"219",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
"220",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
"221",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
"222",9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
"223",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
"224",9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5
"225",7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
"226",8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5
"227",8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6
"228",8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6
"229",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5
"230",7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6
"231",7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6
"232",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
"233",6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6
"234",7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
"235",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
"236",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
"237",6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5
"238",12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5
"239",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
"240",9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5
"241",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
"242",10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
"243",7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5
"244",7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,6
"245",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
"246",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5
"247",7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5
"248",10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6
"249",7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
"250",9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7
"251",7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
"252",6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6
"253",7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5
"254",6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6
"255",7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
"256",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6
"257",7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5
"258",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6
"259",10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6
"260",7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6
"261",8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6
"262",6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
"263",7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5
"264",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5
"265",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
"266",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5
